fi  fM  MHVR(fi-2)  MHVR(fi-1)  MHVR(fi)  MHVR(fi+1)  MHVR(fi+2)
12.309105  8.969039  3.36522  3.927416  3.81495  3.049514  3.313485
12.571637  8.969039  3.927416  3.81495  3.049514  3.313485  2.667312
12.839769  8.969039  3.81495  3.049514  3.313485  2.667312  2.114436
13.11362  8.969039  3.049514  3.313485  2.667312  2.114436  2.21024
13.393312  8.969039  3.313485  2.667312  2.114436  2.21024  2.284642
13.678967  8.969039  2.667312  2.114436  2.21024  2.284642  1.88014
13.970717  8.969039  2.114436  2.21024  2.284642  1.88014  1.677905
14.268689  8.969039  2.21024  2.284642  1.88014  1.677905  1.668989
14.573016  8.969039  2.284642  1.88014  1.677905  1.668989  1.234818
14.883834  8.969039  1.88014  1.677905  1.668989  1.234818  1.447592
15.201281  8.969039  1.677905  1.668989  1.234818  1.447592  1.590406
15.525498  8.969039  1.668989  1.234818  1.447592  1.590406  1.017199
15.856631  8.969039  1.234818  1.447592  1.590406  1.017199  1.091039
16.194826  8.969039  1.447592  1.590406  1.017199  1.091039  1.189172
16.540234  8.969039  1.590406  1.017199  1.091039  1.189172  1.077604
16.893009  8.969039  1.017199  1.091039  1.189172  1.077604  0.877821
17.253309  8.969039  1.091039  1.189172  1.077604  0.877821  0.779577
17.621292  8.969039  1.189172  1.077604  0.877821  0.779577  0.712182
17.997126  8.969039  1.077604  0.877821  0.779577  0.712182  0.707962
18.380974  8.969039  0.877821  0.779577  0.712182  0.707962  0.930708
18.773008  8.969039  0.779577  0.712182  0.707962  0.930708  1.300986
19.173405  8.969039  0.712182  0.707962  0.930708  1.300986  1.1338
19.582342  8.969039  0.707962  0.930708  1.300986  1.1338  1.1338
20  8.969039  0.930708  1.300986  1.1338  1.1338  1.1338
